,Unnamed: 0,county,StateName,Month,Sale to List Ratio,FIPS,State,# Deaths,Age-Adjusted Mortality,# Deaths.1,Child Mortality Rate,# Deaths.2,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,% Insufficient Sleep,# Uninsured,% Uninsured,# Uninsured.1,% Uninsured.1,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,% Free or Reduced Lunch,Segregation index,Segregation Index,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
23,67937,Campbell,WY,2018-06,1.089863891,56005,Wyoming,434,317,33,60.5,36,7,9,10,7,19,49,4960,10,1890,4,22,15,7,35,4416,14,954,7,8503,49,2033:01:00,,79148,36,69,29,48803,28.1,8.1,264,0.5,759,1.6,323,0.7,43,0.1,4216,8.6,42679,87.5,598,1.3,0.5,2.2,48.1,13412,29.1
24,19399,Kootenai,ID,2015-04,1.084743596,16055,Idaho,1673,297,60,42.9,57,5,11,12,8,76,61,21320,15,10781,8,54,12,7,31,12474,14,1990,5,8108,96,1043:01:00,14,52019,42,81,30,154311,23.2,18.2,545,0.4,2107,1.4,1605,1,222,0.1,6757,4.4,140181,90.8,248,0.2,0,0.3,50.7,33577,24.2
25,64485,Alameda,CA,2018-04,1.084040722,6001,California,12724,241,466,33.8,556,4,9,10,8,5354,388,226090,14,15141,1,528,11,6,33,77065,7,8963,2,8707,47,2118:01:00,12,89472,44,49,35,1647704,21,13.1,176524,10.7,18148,1.1,497857,30.2,15870,1,371072,22.5,529004,32.1,135883,9,,,50.9,5869,0.4
27,12848,Davis,UT,2014-11,1.083806938,49011,Utah,2137,246,168,38.1,191,5,9,10,7,186,73,38310,12,18820,6,171,17,10,29,20337,11,5674,5,8959,43,2344:01:00,12,77095,22,48,34,342281,32.8,9.5,4154,1.2,2421,0.7,6890,2,2701,0.8,32296,9.4,288215,84.2,2638,0.9,,,49.6,2818,0.9
29,21693,Bell,TX,2015-06,1.083021429,48027,Texas,3439,378,259,69.9,325,8,12,11,10,623,235,65980,20,39621,13,65,6,5,36,33077,16,5843,6,10408,156,642:01:00,13,51993,56,41,37,340411,27.9,10.5,73514,21.6,3756,1.1,11013,3.2,2873,0.8,82567,24.3,158416,46.5,7088,2.4,2,2.7,50.2,47113,15.2
30,52098,Weber,UT,2017-06,1.069345902,49057,Utah,2416,349,158,56.1,177,6,11,11,8,142,74,30270,13,14371,6,197,27,14,31,20467,14,4662,6,9286,79,1263:01:00,15,62768,46,54,34,247560,28.8,11.4,3195,1.3,3201,1.3,3903,1.6,854,0.3,44604,18,189333,76.5,6206,2.8,2.5,3.1,49.8,13414,5.8
32,54035,Medina,TX,2017-07,1.06696,48325,Texas,598,347,19,41.2,20,5,11,11,12,64,159,4400,9,3715,8,,,3,30,5890,22,1293,11,11129,16,6160:01:00,16,51304,60,65,17,49283,23.6,16.1,1145,2.3,494,1,451,0.9,75,0.2,25317,51.4,21852,44.3,998,2.2,1.5,2.9,48.2,28319,61.6
36,14431,Douglas,KS,2014-12,1.061675981,20045,Kansas,844,269,35,39.5,36,4,10,11,6,80,79,19080,17,4953,4,34,10,5,28,8658,11,1047,5,8421,62,1614:01:00,,55446,39,36,25,119440,18.8,11.2,5160,4.3,3197,2.7,5880,4.9,97,0.1,7278,6.1,94258,78.9,1266,1.1,0.8,1.5,50.1,12205,11
45,68914,Bannock,ID,2018-07,1.057834343,16005,Idaho,1002,391,46,51.5,47,5,13,13,9,41,61,12840,15,7016,8,61,24,11,32,7192,15,1012,4,9432,124,804:01:00,12,48453,49,65,35,84377,26.6,13.6,703,0.8,3146,3.7,1117,1.3,247,0.3,7129,8.4,71275,84.5,370,0.5,0.2,0.7,50.1,13030,15.7
46,10637,La Porte,IN,2014-09,1.056673989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
